City_ID,City,Country,Date,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-05-14 19:38:10,-54.8,50.0,66,0,3.44
1,Homer,US,2021-05-14 19:38:10,59.6425,48.0,76,1,6.91
2,Cape Town,ZA,2021-05-14 19:38:10,-33.9258,64.99,82,75,13.8
3,Punta Arenas,CL,2021-05-14 19:38:11,-53.15,46.4,87,0,8.05
4,Bakaly,RU,2021-05-14 19:38:11,55.1789,65.48,54,41,8.23
5,Lingdong,CN,2021-05-14 19:38:11,46.5669,58.59,88,100,14.29
6,Isiro,CD,2021-05-14 19:38:12,2.7739,67.96,99,100,1.1
7,Paso De Los Toros,UY,2021-05-14 19:38:12,-32.8167,68.0,45,0,5.75
8,Leh,IN,2021-05-14 19:38:12,34.1667,39.49,56,60,5.55
9,Port Elizabeth,ZA,2021-05-14 19:38:13,-33.918,60.8,82,0,4.61
10,Avarua,CK,2021-05-14 19:38:13,-21.2078,78.8,83,100,2.3
11,Inuvik,CA,2021-05-14 19:38:13,68.3499,42.8,60,92,6.91
12,Butajira,ET,2021-05-14 19:38:14,8.1167,62.92,70,26,0.92
13,Caldwell,US,2021-05-14 19:34:17,43.6629,73.0,37,90,6.91
14,Saint George,US,2021-05-14 19:38:15,37.1041,93.0,8,1,5.75
15,Conde,BR,2021-05-14 19:38:16,-7.2597,78.8,89,75,5.75
16,Cabo San Lucas,MX,2021-05-14 19:38:16,22.8909,97.0,23,1,6.91
17,Asfi,MA,2021-05-14 19:34:45,32.2994,67.24,65,3,28.1
18,Kashan,IR,2021-05-14 19:38:17,33.9831,67.69,57,90,3.8
19,Jiaozuo,CN,2021-05-14 19:38:17,35.2397,69.85,88,97,3.65
20,Lompoc,US,2021-05-14 19:38:18,34.6391,61.0,67,1,10.36
21,Clarence Town,AU,2021-05-14 19:38:18,-32.5833,51.01,87,37,10.36
22,Upernavik,GL,2021-05-14 19:38:18,72.7868,34.36,81,99,4.5
23,Vaini,TO,2021-05-14 19:38:19,-21.2,73.4,83,40,4.61
24,Rikitea,PF,2021-05-14 19:38:19,-23.1203,76.03,73,100,24.85
25,Northam,GB,2021-05-14 19:38:19,51.0333,48.99,94,100,5.26
26,Suntar,RU,2021-05-14 19:38:20,62.1444,41.94,56,20,4.63
27,Bambous Virieux,MU,2021-05-14 19:38:20,-20.3428,77.0,73,40,14.97
28,Prainha,BR,2021-05-14 19:38:20,-1.8,80.13,82,100,3.09
29,Puerto Ayora,EC,2021-05-14 19:38:21,-0.7393,82.4,65,40,17.27
30,Mar Del Plata,AR,2021-05-14 19:35:04,-38.0023,68.0,42,0,10.36
31,Sens,FR,2021-05-14 19:38:21,48.1667,50.0,88,47,7.78
32,Hobart,AU,2021-05-14 19:33:56,-42.8794,39.99,87,90,6.91
33,Neryungri,RU,2021-05-14 19:38:22,56.6709,35.87,93,98,10.36
